Question,ID,url,headline,lead,stock,clip,type,hit@1,ai_clip
1,01BA3A9635336759ADA729600EC4672E,https://www.theglobeandmail.com/business/international-business/european-business/article-britain-rejects-call-to-regulate-cryptoassets-as-a-form-of-gambling/,Britain rejects call to regulate cryptoassets as a form of gambling,"Treating cryptoassets as a form of gambling would put Britain at odds with global and European Union regulators and fail to mitigate risks from the sector, Britain?s Financial Services Minister Andrew Griffith said on Thursday.",https://unsplash.com/photos/a-group-of-tall-buildings-in-a-city-3jNmHyn4mgk,"['5DE115E129351FA84DBFAB1E9FC08225.jpg', 'EE604B3C5A02594155CBDAD9F8D64ADA.jpg', '96A087D4A4E6C48AE9840F1DB2E94F74.jpg', '588361D01E732C636E7CFE9D1AA8FA0F.jpg', '8DC5E75C59F21B2CBB29692640F9C796.jpg']",edi,no,no
2,118C275D09E9296E9F709845ED239297,https://www.medscape.com/viewarticle/994607,"No Cognitive Benefit From Meditation, Learning a Language?","Meditation and foreign language training does not boost cognitive function in cognitively healthy older adults, a new study suggests.",https://unsplash.com/photos/woman-sitting-on-sand-ie8WW5KUx3o,"['C076DA63D5245B2E881968AE9519B63A.jpg', '78AC400A83F5E5C488C50DB6212641FB.jpg', '118C275D09E9296E9F709845ED239297.jpg', '9323AC88438981D5AE8F41EEFF6708C2.jpg', '389BA186A0A9E2EAB4BFAE94E733D3EC.jpg']",edi,no,yes
3,1D794E1A2C9948677C955B0562993793,https://news.yahoo.com/state-college-man-sentenced-jail-193402943.html,State College man sentenced to jail for crash that killed Penn State student,A State College man on Thursday pleaded guilty to homicide by vehicle and was sentenced to 16 to 32 months in prison for an August 2021 crash that killed a Penn State student.,https://unsplash.com/photos/a-woman-with-dreadlocks-sitting-in-front-of-a-laptop-computer--ZFvSWK4L28,"['B3D3E5832D0817CCFD351D10D82B7F04.jpg', '5999062485C349B24ADFBB38873A9A15.jpg', '2EEB50A6AE7A962C82DBBDAF1BFFC6FE.jpg', 'DDAF19CDDAAF11C7C34A80E53E9AB9B1.jpg', 'F5F913C1E991EDEB9EB52B4AC307BAA8.jpg']",ai,no,yes
4,208D1AF7F756CF57AC624CE177AFB886,https://addisstandard.com/news-ethiopia-war-the-most-deadly-as-world-sees-record-high-battle-related-deaths-in-2022-since-1984-report-2/,Ethiopia war ?the most deadly? as world sees record high battle-related deaths in 2022 since 1984,"A new report by the non-profit Peace Research Institute Oslo (PRIO) revealed that with more than 100,000 fatalities, the war in Ethiopia, which was third deadliest in 2021, became the most deadly conflict in the world in 2022, as the year records highest battle-related deaths from state-based conflicts than in any year since 1984.",https://unsplash.com/photos/a-person-standing-on-a-rock-in-a-canyon-wbOKjgQv3nY,"['678782FAA3E324874FECB6A7E9FF5508.jpg', '36638A2E68F471818A2893BB875F1032.jpg', '2ACABDB8EA03159C6A361EE2FB4D708B.jpg', '029808173782B5F13A9723C43E2F9E4F.jpg', '81DE6781F5219BA3A13A2FBACBF334A6.jpg']",edi,no,yes
5,3CA990492AC761E0A286E95E167EBC28,https://www.drapersonline.com/news/how-brands-are-cashing-in-on-barbiemania,How brands are cashing in on Barbiemania,"Drapers examines how brands, retailers and consumers have embraced life in plastic ahead of the Barbie movie's worldwide release on 21 July.",https://unsplash.com/photos/a-person-sitting-at-a-desk-with-a-laptop-and-a-coffee-cup-04X1Yp9hNH8,"['1F069BE3C14A6B0A6D8D6FCE1FCB03BF.jpg', 'B1745C0AC6A72FC407F28F562B05B909.jpg', '9E4ADD73E01CDF0800173593BF3FF34F.jpg', 'BC6CCBEA0DDF41AB2BC3E9A101D3C10D.jpg', '1E2BF8CA9DCD03B0C600CC052C8314E8.jpg']",edi,no,yes
6,6333BD6E0606BE1A2E13F237E7E4C15D,https://www.clickorlando.com/insider/2023/07/20/counties-with-the-highest-unemployment-in-florida/,Counties with the highest unemployment in Florida,"As of May 2023, national unemployment is at 3.4%",https://unsplash.com/photos/white-and-orange-car-showing-license-plate-78-lJJrG2lc,"['31E64CE00407F6D89337C300ABAFBD5F.jpg', 'A332D963893D386D8E5F581B22F6F688.jpg', 'C1D43050F65BDE464A980D5C85BF2A19.jpg', '52996AC60EB00EA83CD388A27A0AD19C.jpg', '4F344050472AF85D853A7BB6A010CE5D.jpg']",edi,no,no
7,66A4846B162D2FF33DE24E6E4FCFA534,https://www.countrylife.co.uk/property/a-16th-century-water-mill-in-devon-that-offers-the-chance-to-generate-your-own-electricity-using-ancient-tools-258189,A house where you could charge up your Tesla via the 16th-century water mill,"Want to make your own power but don't want solar panels on the roof? There's an answer at Mullybrook Mill in Devon, a house with plenty of history, machinery and potential to become a restoration project that could lead to self-sufficiency.",https://unsplash.com/photos/football-player-doing-goal-kick-HnrXo1vvLl4,"['66A4846B162D2FF33DE24E6E4FCFA534.jpg', '55462488C0C1D26F3DAF14BB3CDDB6D0.jpg', '76B61C8005C0185431BE0874A8B16860.jpg', '32CB4C15E719311E8B8EB9608C5EC35D.jpg', '2F3DBE1A2EBC090CA6571343BDE62134.jpg']",edi,yes,no
8,8A50F6FA4403585BC05BD3E7F886CA1F,https://guardian.ng/news/us-japan-south-korea-to-hold-summit-in-august-seoul/,"US, Japan, South Korea to hold summit in August: Seoul","South Korean, US and Japanese leaders will meet in August in America, Seoul?s presidential office said Thursday, as the three nations increase military cooperation to counter North Korea?s growing nuclear threats.",https://unsplash.com/photos/canal-between-cherry-blossom-trees-8sOZJ8JF0S8,"['0E66D65641E8C2DA6654C3B16A3BAEF4.jpg', '40C4848E9CA6A3040FB6683900825F50.jpg', '9C73940EA58D9BBE0C552E74D18CF524.jpg', '1264B0EEA86D54CB52D2318D69F40F7A.jpg', 'DA9F0CC7A39940DB868E881D83FCE536.jpg']",ai,no,no
9,69304B184E668A49EBAB869AAA103D00,https://www.klove.com/news/us-and-world/tornado-causes-major-damage-to-pfizer-facility-in-nc-scorching-heat-floods-hit-other-states-44874,"Tornado Causes Major Damage To Pfizer Facility In NC, Scorching Heat, Floods Hit Other States","A tornado heavily damaged a major Pfizer pharmaceutical plant in North Carolina on Wednesday, while torrential rain flooded communities in Kentucky and an area from California to South Florida endured more scorching heat.",https://unsplash.com/photos/4h_KyDCKqUM,"['E240268473A520CCAAA8658B93B610AE.jpg', '23D419A3DA8A51A551AF32D2C16B6192.jpg', '3EA4F3CAD3AA9DBF68857108C25974EB.jpg', '05B5111D54E7A9EB203F852BD6BA979A.jpg', 'C89BE36DBA4BD135B16CB1F15A20E7AD.jpg']",edi,no,yes
10,791C6A15311EE2F9C66964CC97C2CFF9,https://www.fxstreet.com/news/eur-usd-drops-to-one-week-lows-below-11150-as-usd-strengthens-202307201532,EUR/USD drops to one-week lows below 1.1150 as USD strengthens,The US dollar gains momentum following the release of US data ahead of the FOMC meeting.,https://unsplash.com/photos/black-smartphone-near-person-5QgIuuBxKwM,"['791C6A15311EE2F9C66964CC97C2CFF9.jpg', 'BC2264B932F69ADAF2E1849D5047EEE7.jpg', '8C3698FC9A9BE16505DDBDB7A5BA52BE.jpg', 'DAC61BC562C7415D64F3DA014B723BA7.jpg', 'A91442622B76D5692493C71EEC99E42B.jpg']",edi,yes,no
