StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,Consent,Rating_1,Q26_1,Q48_1,Q220_1,Q35_1,Q39_1,Q42_1,Q223_1,Q57_1,Q63_1,Q60_1,Q226_1,Q66_1,Q69_1,Q72_1,Q229_1,Q75_1,Q78_1,Q81_1,Q232_1,Q84_1,Q87_1,Q90_1,Q235_1,Q93_1,Q97_1,Q100_1,Q238_1,Q103_1,Q106_1,Q109_1,Q241_1,Q112_1,Q115_1,Q118_1,Q244_1,Q121_1,Q124_1,Q127_1,Q247_1,Q130_1,Q133_1,Q136_1,Q250_1,Q139_1,Q142_1,Q145_1,Q253_1,Q148_1,Q151_1,Q154_1,Q256_1,Q157_1,Q160_1,Q163_1,Q259_1,Q166_1,Q169_1,Q172_1,Q262_1,Q175_1,Q178_1,Q181_1,Q277_1,Q184_1,Q187_1,Q190_1,Q274_1,Q193_1,Q196_1,Q199_1,Q271_1,Q202_1,Q205_1,Q208_1,Q268_1,Q211_1,Q214_1,Q217_1,Q265_1,PROLIFIC_PID,STUDY_ID,SESSION_ID
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,User Language,There are no foreseeable risks associated with this project. No personal data will be collected. You,"Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.","Please indicated to what extent you agree with the following statement: - I think, this image fits the news article.",PROLIFIC_PID,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID279""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID220_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID223_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID226_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID229_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID232_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID235_1""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID238_1""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID241_1""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID244_1""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID247_1""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID133_1""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID250_1""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID142_1""}","{""ImportId"":""QID145_1""}","{""ImportId"":""QID253_1""}","{""ImportId"":""QID148_1""}","{""ImportId"":""QID151_1""}","{""ImportId"":""QID154_1""}","{""ImportId"":""QID256_1""}","{""ImportId"":""QID157_1""}","{""ImportId"":""QID160_1""}","{""ImportId"":""QID163_1""}","{""ImportId"":""QID259_1""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID169_1""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID262_1""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID178_1""}","{""ImportId"":""QID181_1""}","{""ImportId"":""QID277_1""}","{""ImportId"":""QID184_1""}","{""ImportId"":""QID187_1""}","{""ImportId"":""QID190_1""}","{""ImportId"":""QID274_1""}","{""ImportId"":""QID193_1""}","{""ImportId"":""QID196_1""}","{""ImportId"":""QID199_1""}","{""ImportId"":""QID271_1""}","{""ImportId"":""QID202_1""}","{""ImportId"":""QID205_1""}","{""ImportId"":""QID208_1""}","{""ImportId"":""QID268_1""}","{""ImportId"":""QID211_1""}","{""ImportId"":""QID214_1""}","{""ImportId"":""QID217_1""}","{""ImportId"":""QID265_1""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
08/12/2023 09:12,08/12/2023 09:20,100,497,TRUE,08/12/2023 09:20,R_3lAKCHqSftOmlGr,EN,I agree,,,,,,,,,,,,,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,,,,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,,,,,,,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,,,
08/12/2023 09:27,08/12/2023 09:32,100,280,TRUE,08/12/2023 09:32,R_1qf7Tl01obyBmto,EN,I agree,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,,,,,Agree,Strongly disagree,Agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,
08/12/2023 09:53,08/12/2023 10:00,100,461,TRUE,08/12/2023 10:00,R_qJGb7yMPw54cX3r,EN,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,,,,,,,,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,,,,,,,,,,,
08/12/2023 10:49,08/12/2023 10:58,100,488,TRUE,08/12/2023 10:58,R_3kOqcb1RPUHlO6H,EN,I agree,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Strongly disagree,Somewhat agree,Disagree,Neither agree nor disagree,Disagree,Somewhat agree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Strongly disagree,Agree,,,
08/12/2023 11:01,08/12/2023 11:10,100,542,TRUE,08/12/2023 11:10,R_263c05pm8TXWpCU,EN,I agree,Agree,Strongly disagree,Somewhat agree,Disagree,,,,,,,,,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Somewhat agree,Somewhat agree,,,,,,,
08/12/2023 14:33,08/12/2023 14:37,100,198,TRUE,08/12/2023 14:37,R_3dPNNhZCsF8soIL,EN,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Agree,,,,,Agree,Strongly disagree,Somewhat agree,Disagree,Agree,Disagree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,6527f0a73ad0278f638cf13e,65730de35c1e2d0d783d3320,65731b30c02a07fefdf02cc6
08/12/2023 14:33,08/12/2023 14:37,100,196,TRUE,08/12/2023 14:37,R_5t01SeLSiHyw80x,EN,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Somewhat agree,Agree,,,,,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Strongly disagree,Agree,5df1a3387caa1e0c69dca179,65730de35c1e2d0d783d3320,65731b2ca7d6c170b0dcad46
08/12/2023 14:34,08/12/2023 14:37,100,199,TRUE,08/12/2023 14:37,R_CdEEn6V76WSg3jX,EN,I agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,,,,,Strongly agree,Strongly disagree,Somewhat agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,,,,,,,,,612110456899ed64c754d95d,65730de35c1e2d0d783d3320,65731b5074c687715a5b9fe7
